ID, Sentence, Target, Base
"[BRWN, PARA#6643, SENT#2]","I don't mean a few aesthetes who play about with sensations like a young prince in a miniature dabbling his hand in a pool ." , "(NP (NNS sensations))" , "(NP
  (NP (DT a) (JJ young) (NN prince))
  (PP
    (IN in)
    (NP
      (NP (DT a) (NN miniature))
      (VP
        (VBG dabbling)
        (NP (PRP$ his) (NN hand))
        (PP (IN in) (NP (DT a) (NN pool)))))))"
"[BRWN, PARA#11103, SENT#1]","Oh , he was being queer and careful , pawing about in the drawer and holding the bottle like a snake at the length of his arm ." , "[Tree('NP', [Tree('PRP', ['he'])]), None, Tree('VBG', ['holding']), Tree('NP', [Tree('DT', ['the']), Tree('NN', ['bottle'])]), Tree('VP', [Tree('VBG', ['being']), Tree('ADJP', [Tree('JJ', ['queer']), Tree('CC', ['and']), Tree('JJ', ['careful'])])]), Tree('VP', [Tree('VBG', ['pawing']), Tree('IN', ['about']), Tree('PP', [Tree('IN', ['in']), Tree('NP', [Tree('DT', ['the']), Tree('NN', ['drawer'])])])]), Tree('VBD', ['was'])]" , "(NP
  (NP (DT a) (NN snake))
  (PP
    (IN at)
    (NP
      (NP (DT the) (NN length))
      (PP (IN of) (NP (PRP$ his) (NN arm))))))"
"[BRWN, PARA#7932, SENT#4]","`` I went to the city and there I did weep , men a-crowing like asses , and living like sheep ." , "(NP (NNS men))" , "(NP (NN sheep))"
"[BRWN, PARA#10745, SENT#1]","Rumor of a big battle spread like a grassfire up the valley ." , "(NP (NP (NNP Rumor)) (PP (IN of) (NP (DT a) (JJ big) (NN battle))))" , "(NP (DT a) (NN grassfire))"
"[BRWN, PARA#10432, SENT#2]","When the sun came out , Stevie strode proudly into Orange Square, smiling like a landlord on industrious tenants ." , "(VBG smiling)" , "(NP
  (NP (DT a) (NN landlord))
  (PP (IN on) (NP (JJ industrious) (NNS tenants))))"
"[BRWN, PARA#15342, SENT#3]","They gave the room a strange note of incongruity , like a mole on a beautiful face ." , "[Tree('NP', [Tree('PRP', ['They'])]), None, Tree('VBD', ['gave']), Tree('NP', [Tree('DT', ['the']), Tree('NN', ['room'])]), Tree('NP', [Tree('NP', [Tree('DT', ['a']), Tree('JJ', ['strange']), Tree('NN', ['note'])]), Tree('PP', [Tree('IN', ['of']), Tree('NP', [Tree('NN', ['incongruity'])])])])]" , "(NP (DT a) (NN mole))"
"[BRWN, PARA#10442, SENT#25]","It always came on , faithfully , just like a radio or juke box , whenever he started to worry too much about something , when the bad things tried to push their way into him ." , "[Tree('NP', [Tree('PRP', ['It'])]), None, Tree('VBD', ['came']), Tree('PP', [Tree('IN', ['on']), Tree(',', [',']), Tree('ADVP', [Tree('RB', ['faithfully'])]), Tree(',', [',']), Tree('ADVP', [Tree('RB', ['just'])])])]" , "(NP (DT a) (NN radio) (CC or) (NN juke) (NN box))"
"[BRWN, PARA#4440, SENT#1]","The design of a mechanical interlocking frame is much like a mechanical puzzle , but once understood , the principles can be applied to any track and signal arrangement ." , "(NP
  (NP (DT The) (NN design))
  (PP
    (IN of)
    (NP (DT a) (JJ mechanical) (NN interlocking) (NN frame))))" , "(NP (DT a) (JJ mechanical) (NN puzzle))"
"[BRWN, PARA#14598, SENT#3]","The sticks fell like a shower around her and she felt them sting her flesh and send tiny points of pain along her thighs ." , "(NP (DT The) (NN sticks))" , "(NP (DT a) (NN shower))"
"[BRWN, PARA#12957, SENT#3]","I saw the pony fall like a stone and the young warrior flew over its head , bouncing like a rubber ball ." , "(VBG bouncing)" , "(NP (DT a) (NN rubber) (NN ball))"
