"","","and yet like a child among adults .","0.0","0","YES"
"aesthete","prince","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .","0.125","4","YES"
"","","Oh , he was being queer and careful , pawing about in the drawer and holding the bottle like a snake at the length of his arm .","0.0","0","YES"
"person","ass","`` I went to the city And there I did Weep , Men a-crowing like asses , And living like sheep .","0.14285714285714285","2","YES"
"person","grassfire","Rumor of a big battle spread like a grassfire up the valley .","0.1","5","YES"
"person","landlord","When the sun came out , Stevie strode proudly into Orange Square , smiling like a landlord on industrious tenants .","0.2","3","YES"
"people","mole","They gave the room a strange note of incongruity , like a mole on a beautiful face .","0.1111111111111111","5","YES"
"thing","box","It always came on , faithfully , just like a radio or juke box , whenever he started to worry too much about something , when the bad things tried to push their way into him .","0.07692307692307693","5","YES"
"design","puzzle","The design of a mechanical interlocking frame is much like a mechanical puzzle , but once understood , the principles can be applied to any track and signal arrangement .","0.07142857142857142","5","YES"
"stick","shower","The sticks fell like a shower around her and she felt them sting her flesh and send tiny points of pain along her thighs .","0.14285714285714285","5","YES"
"fall","stone","I saw the pony fall like a stone and the young warrior flew over its head , bouncing like a rubber ball .","0.08333333333333333","2","YES"
"officer","bolster","The redcoat officer collapsed like a punctured bolster , and the horse reared and threw him from the saddle , except that one booted foot caught in the stirrup .","0.07692307692307693","5","YES"
"mood","shadow","As Matsuo climbed by using the vines and kicking his feet against the trunk , a mood of gloom immersed him like a jungle shadow .","0.125","5","YES"
"person","candle","But Chris brightened up like a candle .","0.1","5","YES"
"","","Aids sounds more like a Pony Club , or horsemanship classes -- riding a horse and showing a dog are very similar ! !","0.0","0","YES"
"people","kitten","But I wold say I recond he did not mind it for he had a plenty more left and then they would lean to me like a sore eyd kitten to a basin of milk '' .","0.0","2","YES"
"","","This theorem is similar to the theorem of Kakutani that there exists a circumscribing cube around any closed , bounded convex set in Af .","0.0","0","YES"
"hands","ball","His hands snatched at an imaginary bucket , swooping down hard to grab it and coming away with equal snap like a ball that's been bounced hard .","0.058823529411764705","3","YES"
"things","spell","For this does not account for the integral , elemental power of that which grows with abounding vigor as the play unfolds , nor does it explain the strange numinous sense of presentness which comes over those who watch the play like a spell .","0.1","4","YES"
"person","persimmon","Bitterness comes over him and the taste of time is like unripe persimmons in his mouth .","0.1111111111111111","5","YES"
"","","The aged care plan , similar to one the President sponsored last year as a senator , a fight on Capitol hill .","0.0","0","YES"
"buffalo","person","Thousands of buffalo ( `` bison '' they will never be to the man on the street ) grazing like a mobile brown throw-rug upon the rolling , dusty-green grassland .","0.07692307692307693","5","YES"
"person","prophet","The first news stories had it that this blaze was started by a bolt of lightning , as though Miriam could call down fire from heaven like a prophet of the Old Testament .","0.2","2","YES"
"person","person","Charles , also fifteen , was tall and skinny , scraggly , with straight black hair like an Indian's and sharp brown eyes .","1.0","5","YES"
"person","person","I felt like a Hun in Rome .","1.0","5","YES"
"","","`` I paint the nothing '' , he said once to Franz Kline and myself , `` the nothing that is behind the something , the inexpressible , unpaintable ' tick ' in the unconscious , the ' spirit ' of the moment resting forever , suspended like a huge balloon , in non-time '' .","0.0","0","YES"
"coil","tangle","At the slope's base coils of concertina stretched out of eye range like a wild tangle of children's hoops , stopped simultaneously , weirdly poised as if awaiting the magic of the child's touch to start them all rolling again .","0.16666666666666666","5","YES"
"","","The specific analogy to the dilemma of love is the problem of the `` breakthrough '' in the realm of art .","0.0","0","YES"
"amigo","island","Teeth again flashing back at me , the driver released a deluge of Spanish in which `` amigo '' appeared every so often like an island in the stormy waves of surrounding sound .","0.125","5","YES"
"legs","wine","Her legs were the full , sexy kind , full bodied like a rare wine and just as tantalizing to the appetite ; ;","0.06666666666666667","5","YES"
"","","To propose that men be religious without having religious institutions is like proposing that they be learned without having schools .","0.0","0","YES"
"miracle","curtain","`` A miracle , a revelation , it was like a curtain suddenly torn away to reveal something nude '' .","0.07692307692307693","5","YES"
"","","Her Cousin Emma Carraway had written it , in her loose high old lady's script -- t's carefully crossed , but l's inclined to wobble like an old car on the downward slope .","0.0","0","YES"
"place","haystack","If someone were to drop a match in here , this place would go up like a haystack '' .","0.08333333333333333","5","YES"
"grass","whip","And with each sigh , like a whip in the hand of an expert , the grass stripped something from Warren .","0.07692307692307693","5","YES"
"person","bars","Pleasure , fame and fortune , drowning your troubles with a drink , and `` living it up '' with the gang are like candy bars when you're hungry : they may ease your hunger temporarily , but they'll never take the place of a satisfying , mouth-watering steak .","0.1","5","YES"
"church","creature","The steeple leaned backward , while the church advanced like a headless creature in a long , shapeless coat .","0.07142857142857142","2","YES"
"","","Behind its ornate facade the notorious dive clung like a bird's nest to the rocky ribs of the canyonside .","0.0","0","YES"
"","","I had just the same as delivered him into the hands of the Devil ! !","0.0","0","YES"
"words","reprieve","The German's words worked on the newspaperman like a reprieve from an odious duty .","0.09090909090909091","5","YES"
"animal","thing","Still Andrena will do a reasonably good job , so that an animal with a full pollen load looks like a gay little piece of yellow down floating in the wind .","0.08333333333333333","2","YES"
"bitterness","wound","The bitterness of their wedding night still ripped within him like an open wound .","0.08333333333333333","5","YES"
"male","spectator","Watching her , he felt like a spectator at a tennis game , with the ball being bounced back and forth .","0.16666666666666666","5","YES"
"white","painting","When Charlie came up from the beach for his four-o'clock pill , the whole establishment ( gaudy enough when seen through mist and fog ) looked like a floodlit modern painting -- great blocks of dizzy color , punctuated at regular intervals by the glaring white of five community refrigerators .","0.0","3","YES"
"male","soldier","He moves through Harlem , therefore , like an occupying soldier in a bitterly hostile country ; ;","0.1111111111111111","5","YES"
"","","As it was the custom of that alert colony to take over the property of persons asking for protection , this was an act roughly equivalent to throwing open the door to a pack of wolves and saying `` Come and get it '' .","0.0","0","YES"
"time","mare","The first time he was harnessed he stood like a gentle old mare ; ;","0.045454545454545456","5","YES"
"love","horse","For them , in the grim words of a once-popular song , love and marriage go together like a horse and carriage .","0.047619047619047616","5","YES"
"male","bull","But while she is able to tell her retarded family about the new world she has seen open before her , Ronnie has not been able to observe her progress , and instead of appearing at a family party to be looked over like a new bull , he sends Beatie a letter of dismissal .","0.07692307692307693","3","YES"
"sound","drum","The sound of his footsteps was like a muffled drum .","0.06666666666666667","5","YES"
"thing","person","Poetry , he said , must be `` dogmatic '' : it must not stoop to argue like a `` K.C. in cloth-of-gold '' .","0.1111111111111111","3","YES"
"hair","dog","Honest I could feel the hair stand up on the back of my neck like a dog's that is going to get into a fight .","0.1","2","YES"
"thing","calf","A workbench had a heavy top and sturdy legs , but how did you attach sturdy legs to a heavy top so that the whole thing didn't wobble like a newborn calf and ultimately collapse when you leaned on it ? ?","0.06666666666666667","2","YES"
"male","mastiff","He shouted like a hoarse old mastiff , his hair stiff and bristling .","0.16666666666666666","5","YES"
"thing","current","It poured out of him like an electric current , a feeling that the muscles and nerves of his fine-drawn body were coiling for action , and that that action would be all that he anticipated .","0.0","5","YES"
"transducer","antenna","The transducer itself moves the beam in a sector scan , just like a radar antenna , while the entire transducer structure is moved over a 90-degree arc in front of the eye to `` look into '' all corners .","0.3333333333333333","5","YES"
"thunder","corps","As he approached the first farmhouse , thunder sounded behind him again , closer now and louder , like a steadily advancing drum corps .","0.07142857142857142","5","YES"
"","","It is appropriate to call attention to certain thermodynamic properties of an ideal gas that are analogous to rubber-like deformation .","0.0","0","YES"
"artist","scientist","The true artist is like one of those scientists who , from a single bone can reconstruct an animal's entire body .","0.25","5","YES"
